init_assem_id,entering_assem_id,product_assem_id,leaving_assem_id,metal_bs,leaving_bs,entering_bs,duplicate_count
8,,13,2,M2.b,X3.a,L2.b,2
9,,16,2,M2.c,X4.a,L3.b,1
11,,18,2,M2.b,X2.a,L2.b,2
11,,19,2,M2.c,X3.a,L3.b,1
12,,18,2,M2.a,X2.a,L1.b,4
14,,18,2,M2.b,X3.a,L2.b,2
14,,19,2,M1.c,X1.a,L3.a,1
15,,18,2,M1.d,X0.a,L4.a,2
17,,22,2,M2.b,X1.a,L2.b,4
17,,23,2,M2.c,X2.a,L3.b,1
18,,24,2,M2.c,X2.a,L3.b,1
19,,24,2,M2.b,X2.a,L2.b,2
20,,26,2,M2.c,X2.a,L3.b,1
20,,25,2,M2.b,X1.a,L2.b,1
20,,22,2,M1.d,X0.a,L4.a,1
21,,25,2,M2.a,X1.a,L1.b,4
21,,23,2,M1.d,X0.a,L4.a,1
22,,27,2,M2.c,X1.a,L3.b,2
23,,27,2,M2.b,X1.a,L2.b,4
25,,27,2,M1.d,X0.a,L4.a,2
26,,27,2,M1.d,X0.a,L4.a,2
27,,28,2,M2.d,X0.a,L4.b,1
0,1,3,2,M1.a,X1.a,L1.a,8
0,3,6,2,M1.a,X1.a,L1.b,4
0,4,8,2,M1.a,X1.a,L1.b,8
0,5,9,2,M1.a,X1.a,L1.b,8
0,7,11,2,M1.a,X1.a,L1.b,8
0,7,12,2,M1.a,X1.a,L2.b,4
0,10,17,2,M1.a,X1.a,L1.b,16
3,1,5,2,M1.c,X2.a,L1.a,2
3,1,4,2,M1.b,X1.a,L1.a,4
3,3,9,2,M1.c,X2.a,L1.b,2
3,3,8,2,M1.b,X1.a,L1.b,4
3,4,14,2,M1.c,X2.a,L1.b,2
3,4,15,2,M1.b,X1.a,L1.b,4
3,5,14,2,M1.b,X1.a,L1.b,4
3,7,21,2,M1.c,X2.a,L2.b,1
3,7,20,2,M1.b,X1.a,L1.b,4
4,1,7,2,M1.c,X1.a,L1.a,4
4,3,11,2,M1.c,X1.a,L1.b,2
4,4,20,2,M1.c,X1.a,L1.b,8
5,1,7,2,M1.b,X1.a,L1.a,4
5,3,12,2,M1.b,X1.a,L1.b,2
5,5,21,2,M1.b,X1.a,L1.b,8
6,1,9,2,M1.c,X2.a,L1.a,4
6,1,8,2,M1.b,X1.a,L1.a,8
7,1,10,2,M1.d,X0.a,L1.a,2
7,3,17,2,M1.d,X0.a,L1.b,1
8,1,15,2,M2.b,X3.a,L1.a,4
8,1,12,2,M1.d,X0.a,L1.a,2
8,1,14,2,M2.c,X4.a,L1.a,2
8,1,11,2,M1.c,X1.a,L1.a,2
9,1,14,2,M2.b,X3.a,L1.a,4
9,1,11,2,M1.b,X1.a,L1.a,4
11,1,17,2,M1.d,X0.a,L1.a,2
11,1,20,2,M2.b,X2.a,L1.a,4
12,1,17,2,M1.d,X0.a,L1.a,2
12,1,21,2,M2.d,X1.a,L1.a,2
13,1,18,2,M1.c,X1.a,L1.a,8
14,1,20,2,M2.b,X3.a,L1.a,4
14,1,21,2,M1.d,X0.a,L1.a,2
15,1,20,2,M1.c,X1.a,L1.a,4
16,1,19,2,M1.b,X1.a,L1.a,8
18,1,22,2,M1.d,X0.a,L1.a,2
18,1,25,2,M2.d,X1.a,L1.a,2
19,1,23,2,M1.d,X0.a,L1.a,2
19,1,26,2,M2.b,X2.a,L1.a,4
24,1,27,2,M1.d,X0.a,L1.a,4
