init_assem_id,entering_assem_id,product_assem_id,leaving_assem_id,metal_bs,leaving_bs,entering_bs,duplicate_count
12,,13,2,M1.a,X0.a,L4.b,1
0,1,3,2,M1.a,X1.a,L1.a,4
0,3,4,2,M1.a,X1.a,L1.b,2
0,5,6,2,M1.a,X1.a,L1.b,4
0,6,7,2,M1.a,X1.a,L2.b,2
0,8,9,2,M1.a,X1.a,L2.b,4
0,9,10,2,M1.a,X1.a,L3.b,2
0,11,12,2,M1.a,X1.a,L3.b,4
3,1,5,2,M1.a,X0.a,L1.a,2
3,3,6,2,M1.a,X0.a,L1.b,2
3,5,8,2,M1.a,X0.a,L1.b,2
3,6,9,2,M1.a,X0.a,L2.b,1
3,8,11,2,M1.a,X0.a,L2.b,2
3,9,12,2,M1.a,X0.a,L3.b,1
4,1,6,2,M1.a,X0.a,L1.a,4
4,3,7,2,M1.a,X0.a,L1.b,2
4,5,9,2,M1.a,X0.a,L1.b,4
4,6,10,2,M1.a,X0.a,L2.b,2
4,8,12,2,M1.a,X0.a,L2.b,4
6,1,8,2,M1.a,X0.a,L1.a,2
6,3,9,2,M1.a,X0.a,L1.b,1
6,5,11,2,M1.a,X0.a,L1.b,2
6,6,12,2,M1.a,X0.a,L2.b,2
7,1,9,2,M1.a,X0.a,L1.a,4
7,3,10,2,M1.a,X0.a,L1.b,2
7,5,12,2,M1.a,X0.a,L1.b,4
9,1,11,2,M1.a,X0.a,L1.a,2
9,3,12,2,M1.a,X0.a,L1.b,1
10,1,12,2,M1.a,X0.a,L1.a,4
